name,category_name,brand_name,item_condition_id,shipping,item_description,price
Product 0,Sports/Outdoors,Nike,1,1,Great quality item number 0,6.71
Product 1,Clothing/Shoes,Sony,3,1,Great quality item number 1,15.67
Product 2,Toys/Games,Adidas,1,1,Great quality item number 2,29.25
Product 3,Home/Furniture,Nike,2,1,Great quality item number 3,13.4
Product 4,Sports/Fitness,HP,2,0,Great quality item number 4,67.57
Product 5,Toys/Games,Generic,2,1,Great quality item number 5,51.57
Product 6,Books/Fiction,Dell,3,0,Great quality item number 6,24.86
Product 7,Sports/Outdoors,Apple,2,1,Great quality item number 7,59.47
Product 8,Beauty/Makeup,Generic,5,0,Great quality item number 8,56.04
Product 9,Clothing/Tops,Dell,3,0,Great quality item number 9,16.99
Product 10,Sports/Outdoors,Sony,2,1,Great quality item number 10,7.0
Product 11,Home/Furniture,Generic,2,1,Great quality item number 11,31.91
Product 12,Home/Furniture,Nike,1,1,Great quality item number 12,51.17
Product 13,Sports/Fitness,HP,5,0,Great quality item number 13,83.56
Product 14,Books/Fiction,Zara,5,1,Great quality item number 14,6.13
Product 15,Clothing/Shoes,Unknown,3,1,Great quality item number 15,20.53
Product 16,Sports/Fitness,Adidas,5,0,Great quality item number 16,39.52
Product 17,Sports/Fitness,Samsung,2,0,Great quality item number 17,23.37
Product 18,Clothing/Tops,Sony,3,0,Great quality item number 18,12.61
Product 19,Books/Educational,Puma,4,0,Great quality item number 19,32.09
Product 20,Books/Fiction,Adidas,1,0,Great quality item number 20,68.05
Product 21,Electronics/Computers,H&M,1,0,Great quality item number 21,91.79
Product 22,Sports/Fitness,Sony,4,1,Great quality item number 22,152.46
Product 23,Home/Kitchen,Samsung,3,1,Great quality item number 23,19.56
Product 24,Toys/Educational,Dell,4,0,Great quality item number 24,11.8
Product 25,Books/Educational,Apple,5,1,Great quality item number 25,54.26
Product 26,Electronics/Computers,Puma,2,0,Great quality item number 26,39.95
Product 27,Home/Kitchen,HP,4,1,Great quality item number 27,47.01
Product 28,Books/Fiction,Unknown,4,1,Great quality item number 28,18.57
Product 29,Electronics/Phones,Samsung,5,1,Great quality item number 29,12.58
Product 30,Home/Kitchen,Adidas,3,0,Great quality item number 30,50.23
Product 31,Beauty/Makeup,Nike,2,1,Great quality item number 31,22.67
Product 32,Books/Educational,Generic,2,1,Great quality item number 32,39.99
Product 33,Toys/Games,Nike,1,0,Great quality item number 33,66.74
Product 34,Home/Kitchen,HP,2,1,Great quality item number 34,17.67
Product 35,Beauty/Skincare,Apple,2,1,Great quality item number 35,48.8
Product 36,Electronics/Phones,Nike,2,0,Great quality item number 36,23.1
Product 37,Home/Furniture,Sony,2,0,Great quality item number 37,33.88
Product 38,Home/Furniture,Apple,5,0,Great quality item number 38,57.85
Product 39,Beauty/Makeup,Nike,1,1,Great quality item number 39,15.64
Product 40,Home/Kitchen,Nike,4,0,Great quality item number 40,59.7
Product 41,Home/Kitchen,Apple,1,0,Great quality item number 41,11.9
Product 42,Toys/Educational,H&M,3,0,Great quality item number 42,21.48
Product 43,Toys/Educational,Apple,4,1,Great quality item number 43,14.66
Product 44,Toys/Educational,HP,1,1,Great quality item number 44,5.49
Product 45,Clothing/Tops,HP,1,0,Great quality item number 45,5.36
Product 46,Home/Kitchen,Dell,1,1,Great quality item number 46,11.52
Product 47,Sports/Outdoors,Apple,1,1,Great quality item number 47,36.17
Product 48,Clothing/Shoes,Generic,1,1,Great quality item number 48,27.35
Product 49,Beauty/Skincare,Zara,1,1,Great quality item number 49,16.51
Product 50,Clothing/Tops,Generic,5,0,Great quality item number 50,22.61
Product 51,Books/Fiction,HP,5,1,Great quality item number 51,38.79
Product 52,Clothing/Tops,HP,4,1,Great quality item number 52,71.02
Product 53,Sports/Outdoors,Generic,2,1,Great quality item number 53,14.0
Product 54,Books/Fiction,HP,1,1,Great quality item number 54,68.65
Product 55,Beauty/Skincare,Apple,2,0,Great quality item number 55,20.86
Product 56,Sports/Outdoors,Adidas,5,0,Great quality item number 56,17.23
Product 57,Electronics/Computers,Unknown,3,1,Great quality item number 57,30.22
Product 58,Clothing/Shoes,HP,1,1,Great quality item number 58,18.2
Product 59,Beauty/Skincare,Generic,4,0,Great quality item number 59,15.31
Product 60,Home/Kitchen,Unknown,2,0,Great quality item number 60,74.06
Product 61,Toys/Educational,Generic,4,0,Great quality item number 61,20.59
Product 62,Electronics/Computers,Sony,1,0,Great quality item number 62,9.93
Product 63,Beauty/Makeup,Puma,2,1,Great quality item number 63,21.99
Product 64,Beauty/Skincare,Adidas,2,0,Great quality item number 64,15.24
Product 65,Beauty/Makeup,Unknown,1,1,Great quality item number 65,26.55
Product 66,Books/Fiction,Unknown,3,1,Great quality item number 66,35.87
Product 67,Electronics/Computers,Sony,1,0,Great quality item number 67,5.47
Product 68,Clothing/Shoes,Adidas,4,0,Great quality item number 68,51.5
Product 69,Home/Kitchen,H&M,5,0,Great quality item number 69,23.93
Product 70,Home/Kitchen,HP,5,0,Great quality item number 70,28.42
Product 71,Sports/Outdoors,HP,5,0,Great quality item number 71,9.44
Product 72,Home/Kitchen,Samsung,2,0,Great quality item number 72,22.24
Product 73,Toys/Games,Puma,2,0,Great quality item number 73,25.33
Product 74,Sports/Fitness,H&M,1,1,Great quality item number 74,6.26
Product 75,Clothing/Tops,Generic,2,0,Great quality item number 75,10.82
Product 76,Toys/Educational,Apple,4,0,Great quality item number 76,18.73
Product 77,Electronics/Phones,HP,1,0,Great quality item number 77,10.93
Product 78,Clothing/Shoes,Samsung,4,1,Great quality item number 78,16.59
Product 79,Electronics/Computers,Generic,5,1,Great quality item number 79,68.24
Product 80,Sports/Fitness,Sony,4,0,Great quality item number 80,34.39
Product 81,Clothing/Shoes,Sony,5,1,Great quality item number 81,28.92
Product 82,Electronics/Computers,Apple,2,1,Great quality item number 82,60.86
Product 83,Toys/Educational,Dell,1,0,Great quality item number 83,13.1
Product 84,Books/Educational,Puma,3,0,Great quality item number 84,117.0
Product 85,Books/Educational,HP,4,1,Great quality item number 85,12.43
Product 86,Beauty/Makeup,Nike,1,1,Great quality item number 86,25.34
Product 87,Clothing/Shoes,Adidas,3,0,Great quality item number 87,104.5
Product 88,Books/Educational,Sony,1,0,Great quality item number 88,17.18
Product 89,Toys/Games,H&M,3,1,Great quality item number 89,10.48
Product 90,Electronics/Computers,Generic,1,1,Great quality item number 90,20.69
Product 91,Beauty/Makeup,Dell,5,1,Great quality item number 91,12.95
Product 92,Home/Kitchen,Adidas,3,1,Great quality item number 92,46.4
Product 93,Electronics/Computers,Adidas,1,1,Great quality item number 93,80.91
Product 94,Beauty/Makeup,H&M,3,0,Great quality item number 94,63.3
Product 95,Toys/Educational,Dell,5,0,Great quality item number 95,9.64
Product 96,Clothing/Shoes,Sony,3,0,Great quality item number 96,95.48
Product 97,Toys/Educational,Sony,3,1,Great quality item number 97,44.91
Product 98,Sports/Fitness,Unknown,1,1,Great quality item number 98,47.59
Product 99,Toys/Educational,Dell,4,0,Great quality item number 99,28.95
Product 100,Sports/Outdoors,Zara,5,0,Great quality item number 100,19.03
Product 101,Home/Kitchen,Unknown,1,1,Great quality item number 101,13.71
Product 102,Beauty/Skincare,Dell,2,1,Great quality item number 102,24.08
Product 103,Toys/Educational,HP,3,1,Great quality item number 103,54.03
Product 104,Sports/Fitness,Unknown,2,1,Great quality item number 104,16.18
Product 105,Books/Fiction,Sony,1,0,Great quality item number 105,71.18
Product 106,Toys/Games,Apple,4,0,Great quality item number 106,9.74
Product 107,Electronics/Computers,Apple,5,0,Great quality item number 107,6.53
Product 108,Books/Fiction,Unknown,1,1,Great quality item number 108,25.96
Product 109,Sports/Fitness,Unknown,4,1,Great quality item number 109,84.42
Product 110,Beauty/Makeup,Samsung,1,0,Great quality item number 110,59.18
Product 111,Beauty/Skincare,Zara,4,1,Great quality item number 111,9.45
Product 112,Home/Kitchen,Zara,2,0,Great quality item number 112,9.54
Product 113,Home/Kitchen,Apple,4,0,Great quality item number 113,8.01
Product 114,Home/Kitchen,Apple,5,0,Great quality item number 114,51.45
Product 115,Toys/Games,Puma,2,1,Great quality item number 115,17.02
Product 116,Beauty/Skincare,HP,3,1,Great quality item number 116,17.17
Product 117,Toys/Games,Nike,2,1,Great quality item number 117,82.77
Product 118,Toys/Games,Apple,2,0,Great quality item number 118,35.7
Product 119,Electronics/Phones,Dell,3,0,Great quality item number 119,84.98
Product 120,Beauty/Skincare,Adidas,2,0,Great quality item number 120,13.2
Product 121,Sports/Outdoors,Nike,2,1,Great quality item number 121,45.63
Product 122,Beauty/Skincare,Nike,3,0,Great quality item number 122,7.95
Product 123,Sports/Fitness,Unknown,3,1,Great quality item number 123,37.82
Product 124,Electronics/Phones,Apple,5,0,Great quality item number 124,21.92
Product 125,Home/Kitchen,Dell,2,0,Great quality item number 125,5.96
Product 126,Sports/Fitness,Sony,2,0,Great quality item number 126,7.65
Product 127,Sports/Fitness,Dell,2,0,Great quality item number 127,89.74
Product 128,Home/Furniture,Samsung,5,1,Great quality item number 128,51.08
Product 129,Clothing/Tops,Dell,2,0,Great quality item number 129,53.4
Product 130,Electronics/Phones,Sony,3,0,Great quality item number 130,5.98
Product 131,Sports/Fitness,Dell,3,1,Great quality item number 131,46.49
Product 132,Clothing/Tops,Dell,3,1,Great quality item number 132,5.82
Product 133,Clothing/Tops,Adidas,3,1,Great quality item number 133,15.05
Product 134,Electronics/Phones,Puma,4,1,Great quality item number 134,25.67
Product 135,Home/Furniture,Apple,3,1,Great quality item number 135,19.94
Product 136,Books/Fiction,Apple,5,1,Great quality item number 136,9.56
Product 137,Beauty/Makeup,Unknown,4,1,Great quality item number 137,127.62
Product 138,Sports/Outdoors,H&M,2,0,Great quality item number 138,6.65
Product 139,Beauty/Makeup,Dell,3,1,Great quality item number 139,39.51
Product 140,Beauty/Skincare,Adidas,2,0,Great quality item number 140,51.97
Product 141,Home/Kitchen,Zara,3,0,Great quality item number 141,14.77
Product 142,Sports/Outdoors,Zara,3,0,Great quality item number 142,20.68
Product 143,Beauty/Skincare,Sony,4,1,Great quality item number 143,7.63
Product 144,Sports/Fitness,Generic,3,1,Great quality item number 144,18.37
Product 145,Home/Kitchen,Adidas,3,0,Great quality item number 145,17.81
Product 146,Electronics/Computers,Puma,1,0,Great quality item number 146,5.91
Product 147,Electronics/Phones,Apple,5,1,Great quality item number 147,14.2
Product 148,Sports/Outdoors,Apple,5,1,Great quality item number 148,83.78
Product 149,Sports/Outdoors,H&M,2,1,Great quality item number 149,38.89
Product 150,Toys/Educational,HP,2,1,Great quality item number 150,5.44
Product 151,Sports/Fitness,Dell,4,1,Great quality item number 151,26.89
Product 152,Books/Fiction,Nike,2,0,Great quality item number 152,17.84
Product 153,Clothing/Tops,Adidas,1,1,Great quality item number 153,130.53
Product 154,Home/Kitchen,Generic,2,1,Great quality item number 154,94.07
Product 155,Sports/Fitness,Puma,3,1,Great quality item number 155,39.8
Product 156,Books/Educational,Generic,2,1,Great quality item number 156,5.56
Product 157,Home/Furniture,Samsung,2,0,Great quality item number 157,9.77
Product 158,Clothing/Tops,Adidas,3,0,Great quality item number 158,47.79
Product 159,Electronics/Phones,Nike,1,0,Great quality item number 159,32.62
Product 160,Clothing/Tops,Dell,5,1,Great quality item number 160,12.96
Product 161,Books/Fiction,Samsung,1,0,Great quality item number 161,8.44
Product 162,Toys/Educational,H&M,1,1,Great quality item number 162,18.68
Product 163,Clothing/Tops,Unknown,4,0,Great quality item number 163,67.78
Product 164,Electronics/Phones,Zara,4,1,Great quality item number 164,28.23
Product 165,Books/Fiction,Zara,3,1,Great quality item number 165,15.35
Product 166,Beauty/Makeup,Unknown,4,0,Great quality item number 166,7.8
Product 167,Sports/Outdoors,HP,5,1,Great quality item number 167,10.99
Product 168,Toys/Educational,Unknown,3,0,Great quality item number 168,21.19
Product 169,Sports/Outdoors,H&M,4,0,Great quality item number 169,47.49
Product 170,Home/Furniture,Zara,2,0,Great quality item number 170,24.91
Product 171,Beauty/Skincare,Puma,4,1,Great quality item number 171,24.1
Product 172,Beauty/Makeup,Apple,5,0,Great quality item number 172,14.78
